payment_id,order_id,payment_method,payment_status,transaction_amount
P000485,O000485,Wallet,Successful,362.68
P000486,O000486,Wallet,Successful,713.8299999999999
P000487,O000487,Debit Card,Successful,1125.28
P000488,O000488,Wallet,Successful,507.33
P000489,O000489,Wallet,Successful,582.34
P000490,O000490,Debit Card,Successful,1074.5
P000491,O000491,Debit Card,Refunded,441.07
P000492,O000492,UPI,Successful,1766.6000000000001
P000493,O000493,Credit Card,Successful,415.53
P000494,O000494,Debit Card,Failed,1281.37
P000495,O000495,Credit Card,Successful,1149.14
P000496,O000496,UPI,Successful,601.25
P000497,O000497,Credit Card,Successful,367.44
P000498,O000498,Cash,Failed,386.20000000000005
P000499,O000499,Debit Card,Successful,1714.58
P000500,O000500,UPI,Successful,1046.04
P000501,O000501,Credit Card,Successful,911.4100000000001
P000502,O000502,Credit Card,Successful,419.88
P000503,O000503,Credit Card,Successful,128.16
P000504,O000504,Debit Card,Successful,1008.5200000000001
P000505,O000505,Wallet,Successful,1440.3600000000001
P000506,O000506,Wallet,Successful,222.8
P000507,O000507,Debit Card,Successful,1123.27
P000508,O000508,Debit Card,Successful,365.54999999999995
P000509,O000509,Cash,Successful,1230.06
P000510,O000510,UPI,Successful,639.5600000000001
P000511,O000511,UPI,Successful,1069.8200000000002
P000512,O000512,Cash,Successful,1586.3500000000001
P000513,O000513,Wallet,Successful,1119.71
P000514,O000514,Debit Card,Successful,1446.4199999999998
P000515,O000515,UPI,Successful,502.30999999999995
P000516,O000516,UPI,Successful,1476.64
P000517,O000517,UPI,Refunded,1607.5500000000002
P000518,O000518,Debit Card,Successful,300.44
P000519,O000519,Wallet,Successful,739.19
P000520,O000520,UPI,Successful,1394.55
P000521,O000521,Wallet,Successful,196.95999999999998
P000522,O000522,Wallet,Successful,676.5999999999999
P000523,O000523,Credit Card,Failed,1412.56
P000524,O000524,Wallet,Successful,146.64000000000001
P000525,O000525,Wallet,Successful,1355.94
P000526,O000526,Cash,Successful,772.56
P000527,O000527,UPI,Successful,566.41
P000528,O000528,Cash,Failed,1183.8
P000529,O000529,Wallet,Successful,995.1
P000530,O000530,Debit Card,Successful,1314.32
P000531,O000531,Wallet,Successful,1089.68
P000532,O000532,Debit Card,Successful,780.7099999999999
P000533,O000533,Wallet,Successful,1229.5
P000534,O000534,UPI,Successful,1518.16
P000535,O000535,Cash,Successful,1781.96
P000536,O000536,Debit Card,Successful,1271.06
P000537,O000537,Wallet,Successful,1007.3999999999999
P000538,O000538,Debit Card,Successful,745.74
P000539,O000539,Wallet,Successful,1257.2199999999998
P000540,O000540,Wallet,Failed,1390.27
P000541,O000541,Debit Card,Successful,226.82
P000542,O000542,UPI,Successful,1254.6100000000001
P000543,O000543,Debit Card,Successful,1029.4299999999998
P000544,O000544,Credit Card,Failed,265.56
P000545,O000545,Debit Card,Refunded,1129.1200000000001
P000546,O000546,Cash,Successful,465.64
P000547,O000547,Debit Card,Successful,1232.29
P000548,O000548,Credit Card,Successful,536.77
P000549,O000549,Credit Card,Successful,367.48999999999995
P000550,O000550,Cash,Successful,191.86
P000551,O000551,UPI,Successful,973.11
P000552,O000552,Cash,Successful,368.56
P000553,O000553,Debit Card,Successful,1626.29
P000554,O000554,Debit Card,Successful,96.78
P000555,O000555,Wallet,Successful,1565.0300000000002
P000556,O000556,Credit Card,Successful,1014.9999999999999
P000557,O000557,Wallet,Successful,1322.81
P000558,O000558,Cash,Successful,450.13
P000559,O000559,Cash,Failed,251.5
P000560,O000560,Credit Card,Successful,1003.48
P000561,O000561,Debit Card,Successful,1304.65
P000562,O000562,Wallet,Successful,805.0699999999999
P000563,O000563,Cash,Successful,97.19999999999999
P000564,O000564,Debit Card,Successful,798.82
P000565,O000565,Wallet,Successful,401.64000000000004
P000566,O000566,Cash,Successful,648.1800000000001
P000567,O000567,UPI,Successful,863.7399999999999
P000568,O000568,Cash,Successful,1025.22
P000569,O000569,Credit Card,Successful,1426.39
P000570,O000570,Wallet,Successful,284.76
P000571,O000571,Wallet,Successful,1170.21
P000572,O000572,Debit Card,Successful,515.52
P000573,O000573,Wallet,Successful,388.30000000000007
P000574,O000574,Debit Card,Successful,1267.0
P000575,O000575,Cash,Successful,1155.24
P000576,O000576,Wallet,Successful,1507.75
P000577,O000577,Debit Card,Successful,1184.58
P000578,O000578,Credit Card,Successful,353.76
P000579,O000579,Credit Card,Successful,514.81
P000580,O000580,Wallet,Failed,1209.3400000000001
P000581,O000581,Cash,Successful,778.14
P000582,O000582,UPI,Successful,490.99
P000583,O000583,Wallet,Successful,744.88
P000584,O000584,UPI,Successful,1489.58
P000585,O000585,Debit Card,Successful,1482.0800000000002
P000586,O000586,UPI,Successful,708.6600000000001
P000587,O000587,Cash,Failed,1832.29
P000588,O000588,Wallet,Failed,1482.49
P000589,O000589,Credit Card,Failed,85.95
P000590,O000590,Debit Card,Successful,246.07
P000591,O000591,Cash,Successful,1127.45
P000592,O000592,Wallet,Successful,707.0899999999999
P000593,O000593,Wallet,Successful,1240.61
P000594,O000594,UPI,Successful,1288.52
P000595,O000595,Cash,Refunded,512.72
P000596,O000596,Credit Card,Successful,1196.48
P000597,O000597,Debit Card,Successful,947.77
P000598,O000598,Wallet,Successful,748.4200000000001
P000599,O000599,Credit Card,Successful,1165.16
P000600,O000600,UPI,Successful,980.3899999999999
P000601,O000601,Credit Card,Successful,1035.79
P000602,O000602,UPI,Successful,179.48000000000002
P000603,O000603,Debit Card,Successful,978.94
P000604,O000604,UPI,Successful,567.1700000000001
P000605,O000605,UPI,Successful,871.26
P000606,O000606,UPI,Refunded,388.4200000000001
P000607,O000607,Wallet,Successful,1152.41
P000608,O000608,Cash,Successful,296.2
P000609,O000609,Debit Card,Successful,306.65
P000610,O000610,UPI,Successful,448.26
P000611,O000611,Credit Card,Successful,1205.22
P000612,O000612,Wallet,Successful,143.54000000000002
P000613,O000613,Cash,Failed,1181.5900000000001
P000614,O000614,Debit Card,Successful,160.21
P000615,O000615,Wallet,Successful,931.74
P000616,O000616,Wallet,Successful,1463.18
