delivery_partner_id,partner_name,vehicle_type,city,joining_date,rating
D0051,Partner_51,Bike,Delhi,2024-10-17,2.8
D0052,Partner_52,Bicycle,Ghaziabad,2024-08-31,4.7
D0053,Partner_53,Scooter,Gurgaon,2025-12-09,4.0
D0054,Partner_54,Scooter,Ghaziabad,2024-10-14,4.8
D0055,Partner_55,Bicycle,Delhi,2025-08-12,3.4
D0056,Partner_56,Scooter,Noida,2023-12-14,4.2
D0057,Partner_57,Bicycle,Hyderabad,2024-12-05,3.0
D0058,Partner_58,Scooter,Mumbai,2023-05-03,4.0
D0059,Partner_59,Bike,Bangalore,2023-09-11,2.8
D0060,Partner_60,Bicycle,Noida,2022-06-19,2.5
D0061,Partner_61,Bicycle,Delhi,2022-05-26,4.8
D0062,Partner_62,Bicycle,Noida,2024-05-17,3.9
D0063,Partner_63,Scooter,Mumbai,2023-02-24,4.8
D0064,Partner_64,Bike,Noida,2023-07-27,3.3
D0065,Partner_65,Bicycle,Gurgaon,2024-10-23,3.3
D0066,Partner_66,Scooter,Pune,2025-07-10,3.5
D0067,Partner_67,Bicycle,Mumbai,2024-03-09,4.3
D0068,Partner_68,Scooter,Hyderabad,2022-11-17,3.9
D0069,Partner_69,Bike,Ghaziabad,2022-09-03,4.8
D0070,Partner_70,Scooter,Mumbai,2023-04-22,2.6
D0071,Partner_71,Scooter,Delhi,2025-07-06,4.3
D0072,Partner_72,Bicycle,Noida,2025-01-21,3.3
D0073,Partner_73,Scooter,Mumbai,2024-02-22,3.0
D0074,Partner_74,Bicycle,Noida,2023-06-17,3.8
D0075,Partner_75,Scooter,Bangalore,2025-09-24,3.8
D0076,Partner_76,Bike,Chennai,2025-07-07,2.8
D0077,Partner_77,Scooter,Hyderabad,2022-08-25,3.0
D0078,Partner_78,Bicycle,Meerut,2025-03-10,3.5
D0079,Partner_79,Scooter,Chennai,2024-09-01,3.5
D0080,Partner_80,Scooter,Mumbai,2023-11-10,3.3
D0081,Partner_81,Bike,Delhi,2023-08-02,2.9
D0082,Partner_82,Bicycle,Pune,2025-10-05,2.5
D0083,Partner_83,Bike,Hyderabad,2022-05-10,4.9
D0084,Partner_84,Scooter,Meerut,2022-01-11,4.9
D0085,Partner_85,Bike,Bangalore,2022-09-14,3.7
D0086,Partner_86,Scooter,Pune,2024-03-26,5.0
D0087,Partner_87,Scooter,Ghaziabad,2023-01-04,4.2
D0088,Partner_88,Bike,Noida,2024-08-01,2.7
D0089,Partner_89,Bike,Chennai,2025-11-18,2.8
D0090,Partner_90,Scooter,Pune,2025-12-13,4.8
D0091,Partner_91,Bike,Noida,2024-05-31,4.1
D0092,Partner_92,Bike,Meerut,2022-01-19,4.6
D0093,Partner_93,Scooter,Bangalore,2022-04-20,4.7
D0094,Partner_94,Bicycle,Meerut,2025-12-31,3.6
D0095,Partner_95,Bike,Bangalore,2023-05-20,2.6
D0096,Partner_96,Bike,Bangalore,2024-11-23,3.0
D0097,Partner_97,Bicycle,Gurgaon,2025-08-04,2.7
D0098,Partner_98,Bike,Gurgaon,2024-09-29,3.0
D0099,Partner_99,Scooter,Hyderabad,2022-09-12,3.5
D0100,Partner_100,Bike,Gurgaon,2023-09-30,2.8
D0101,Partner_101,Scooter,Gurgaon,2022-05-14,2.9
D0102,Partner_102,Bicycle,Noida,2023-05-14,3.6
D0103,Partner_103,Bicycle,Mumbai,2023-02-01,3.4
D0104,Partner_104,Bicycle,Chennai,2023-10-09,3.7
D0105,Partner_105,Bike,Chennai,2023-11-16,3.6
D0106,Partner_106,Bicycle,Ghaziabad,2025-05-21,4.1
D0107,Partner_107,Bike,Delhi,2025-10-05,4.8
D0108,Partner_108,Bike,Bangalore,2022-01-19,2.8
D0109,Partner_109,Bike,Meerut,2024-10-07,2.7
D0110,Partner_110,Bicycle,Noida,2022-04-29,4.6
D0111,Partner_111,Bicycle,Bangalore,2022-10-29,3.8
D0112,Partner_112,Bike,Delhi,2025-08-01,4.4
D0113,Partner_113,Bicycle,Gurgaon,2022-08-15,3.0
D0114,Partner_114,Bike,Ghaziabad,2025-05-20,4.6
D0115,Partner_115,Bicycle,Gurgaon,2022-12-22,4.8
D0116,Partner_116,Scooter,Bangalore,2023-12-02,4.1
D0117,Partner_117,Bicycle,Ghaziabad,2023-05-02,2.8
D0118,Partner_118,Bicycle,Delhi,2025-09-06,4.7
D0119,Partner_119,Bicycle,Meerut,2022-08-11,4.5
D0120,Partner_120,Bike,Meerut,2025-04-29,4.4
D0121,Partner_121,Bike,Hyderabad,2024-09-21,2.6
D0122,Partner_122,Scooter,Pune,2023-05-15,4.5
D0123,Partner_123,Scooter,Pune,2025-06-14,2.8
D0124,Partner_124,Scooter,Meerut,2024-11-11,3.1
D0125,Partner_125,Bike,Pune,2025-09-12,3.9
D0126,Partner_126,Scooter,Chennai,2025-02-24,3.2
D0127,Partner_127,Scooter,Mumbai,2022-12-31,4.2
D0128,Partner_128,Bicycle,Delhi,2024-12-03,4.0
D0129,Partner_129,Scooter,Mumbai,2023-06-03,2.8
D0130,Partner_130,Bicycle,Pune,2025-02-25,4.1
D0131,Partner_131,Bike,Gurgaon,2025-02-27,4.8
D0132,Partner_132,Bike,Hyderabad,2023-06-13,2.9
D0133,Partner_133,Bicycle,Pune,2025-09-06,4.0
D0134,Partner_134,Scooter,Noida,2022-07-05,3.4
D0135,Partner_135,Bike,Bangalore,2024-03-08,3.6
D0136,Partner_136,Bicycle,Ghaziabad,2024-09-08,3.2
D0137,Partner_137,Bike,Gurgaon,2022-12-14,3.4
D0138,Partner_138,Bike,Bangalore,2024-07-10,2.6
D0139,Partner_139,Scooter,Chennai,2024-07-09,5.0
D0140,Partner_140,Bike,Hyderabad,2024-08-14,4.1
D0141,Partner_141,Bicycle,Noida,2022-12-27,3.8
D0142,Partner_142,Scooter,Chennai,2025-08-03,3.5
D0143,Partner_143,Bicycle,Chennai,2022-07-01,3.8
D0144,Partner_144,Bicycle,Chennai,2022-04-07,3.5
D0145,Partner_145,Bicycle,Meerut,2023-07-17,3.4
D0146,Partner_146,Scooter,Bangalore,2022-11-10,3.7
D0147,Partner_147,Bike,Ghaziabad,2024-08-12,3.2
D0148,Partner_148,Bicycle,Mumbai,2022-01-21,3.0
D0149,Partner_149,Bike,Noida,2024-03-15,3.9
D0150,Partner_150,Bike,Mumbai,2023-07-30,4.6
D0151,Partner_151,Bicycle,Noida,2023-02-07,2.9
D0152,Partner_152,Bike,Delhi,2025-02-21,2.6
D0153,Partner_153,Scooter,Meerut,2023-09-05,3.1
D0154,Partner_154,Scooter,Noida,2025-02-16,4.9
D0155,Partner_155,Bike,Pune,2024-08-27,4.6
D0156,Partner_156,Bike,Pune,2023-11-24,4.0
D0157,Partner_157,Scooter,Delhi,2024-08-16,4.8
D0158,Partner_158,Bike,Ghaziabad,2024-05-21,3.6
D0159,Partner_159,Bike,Hyderabad,2024-04-19,5.0
D0160,Partner_160,Bike,Meerut,2022-04-13,3.2
D0161,Partner_161,Bike,Chennai,2022-11-29,3.1
D0162,Partner_162,Bicycle,Bangalore,2025-02-27,4.1
D0163,Partner_163,Bike,Gurgaon,2024-01-23,3.4
D0164,Partner_164,Scooter,Meerut,2022-05-14,4.1
D0165,Partner_165,Bicycle,Delhi,2025-03-26,3.3
D0166,Partner_166,Bicycle,Pune,2023-03-01,4.0
D0167,Partner_167,Scooter,Bangalore,2025-12-29,3.2
D0168,Partner_168,Bike,Noida,2025-11-13,2.6
D0169,Partner_169,Bicycle,Ghaziabad,2024-07-25,4.8
D0170,Partner_170,Bicycle,Ghaziabad,2025-09-03,4.7
D0171,Partner_171,Bike,Hyderabad,2023-05-20,4.9
D0172,Partner_172,Bike,Hyderabad,2024-05-20,4.3
D0173,Partner_173,Scooter,Meerut,2022-07-09,4.2
D0174,Partner_174,Bicycle,Gurgaon,2023-09-04,3.9
D0175,Partner_175,Bike,Delhi,2025-12-05,2.8
D0176,Partner_176,Bike,Bangalore,2022-02-21,3.0
D0177,Partner_177,Scooter,Pune,2023-09-04,3.2
D0178,Partner_178,Bicycle,Delhi,2025-11-06,4.7
D0179,Partner_179,Bike,Delhi,2023-01-09,2.9
D0180,Partner_180,Scooter,Mumbai,2023-01-10,4.8
D0181,Partner_181,Bicycle,Mumbai,2023-01-24,3.8
D0182,Partner_182,Bicycle,Noida,2023-11-05,4.3
D0183,Partner_183,Bicycle,Gurgaon,2024-03-14,2.8
D0184,Partner_184,Bicycle,Noida,2023-02-08,3.2
D0185,Partner_185,Scooter,Bangalore,2023-08-16,4.9
D0186,Partner_186,Bike,Pune,2024-01-02,3.2
D0187,Partner_187,Bicycle,Pune,2023-05-20,3.2
D0188,Partner_188,Bicycle,Delhi,2022-03-24,3.0
D0189,Partner_189,Bike,Hyderabad,2022-11-15,2.8
D0190,Partner_190,Bicycle,Pune,2024-12-26,3.1
D0191,Partner_191,Bicycle,Hyderabad,2023-02-18,4.1
D0192,Partner_192,Bike,Hyderabad,2023-03-29,3.6
D0193,Partner_193,Bike,Bangalore,2024-01-16,3.9
D0194,Partner_194,Bicycle,Gurgaon,2022-07-17,2.8
D0195,Partner_195,Bike,Delhi,2022-09-16,4.5
D0196,Partner_196,Scooter,Pune,2022-10-25,4.5
D0197,Partner_197,Scooter,Chennai,2025-07-27,2.6
D0198,Partner_198,Bicycle,Gurgaon,2022-10-27,3.5
D0199,Partner_199,Bicycle,Mumbai,2022-05-09,2.7
D0200,Partner_200,Bike,Chennai,2023-05-13,4.5
D0201,Partner_201,Bike,Bangalore,2023-03-14,4.3
D0202,Partner_202,Bicycle,Gurgaon,2025-08-08,4.8
D0203,Partner_203,Bicycle,Bangalore,2022-07-26,3.1
D0204,Partner_204,Scooter,Gurgaon,2022-10-21,3.6
D0205,Partner_205,Bike,Hyderabad,2022-01-29,3.0
D0206,Partner_206,Bicycle,Delhi,2022-06-28,3.4
D0207,Partner_207,Bicycle,Pune,2022-02-10,3.8
D0208,Partner_208,Bike,Meerut,2025-04-30,2.6
D0209,Partner_209,Bike,Ghaziabad,2022-12-10,4.3
D0210,Partner_210,Bicycle,Delhi,2024-03-26,3.9
D0211,Partner_211,Bicycle,Hyderabad,2024-01-07,4.6
D0212,Partner_212,Bicycle,Hyderabad,2023-09-18,3.2
D0213,Partner_213,Bike,Meerut,2022-10-05,4.8
D0214,Partner_214,Bicycle,Hyderabad,2025-10-10,5.0
D0215,Partner_215,Bicycle,Chennai,2023-06-13,4.8
D0216,Partner_216,Bicycle,Hyderabad,2022-03-27,4.4
D0217,Partner_217,Scooter,Mumbai,2022-11-13,4.5
D0218,Partner_218,Scooter,Pune,2023-11-24,3.9
D0219,Partner_219,Bike,Delhi,2025-09-22,3.0
D0220,Partner_220,Bicycle,Ghaziabad,2024-05-12,4.2
D0221,Partner_221,Bicycle,Chennai,2025-03-14,4.3
D0222,Partner_222,Bike,Chennai,2022-11-11,5.0
D0223,Partner_223,Bike,Ghaziabad,2022-08-13,3.9
D0224,Partner_224,Bike,Hyderabad,2025-12-17,3.2
D0225,Partner_225,Bicycle,Gurgaon,2024-12-13,4.2
D0226,Partner_226,Scooter,Chennai,2022-03-09,4.9
D0227,Partner_227,Bike,Chennai,2025-09-19,2.9
D0228,Partner_228,Bicycle,Delhi,2024-10-17,3.3
D0229,Partner_229,Bike,Meerut,2025-01-05,3.9
D0230,Partner_230,Bicycle,Mumbai,2024-05-05,2.9
D0231,Partner_231,Bike,Ghaziabad,2025-03-24,2.6
D0232,Partner_232,Bicycle,Hyderabad,2024-12-31,3.3
D0233,Partner_233,Bike,Bangalore,2025-10-14,4.7
D0234,Partner_234,Scooter,Bangalore,2025-07-24,2.6
D0235,Partner_235,Bike,Gurgaon,2024-06-01,3.6
D0236,Partner_236,Bike,Chennai,2025-08-29,4.4
D0237,Partner_237,Scooter,Chennai,2025-02-02,4.9
D0238,Partner_238,Bike,Meerut,2024-08-28,5.0
D0239,Partner_239,Scooter,Chennai,2025-01-23,3.6
D0240,Partner_240,Bicycle,Bangalore,2025-05-27,4.9
D0241,Partner_241,Scooter,Ghaziabad,2025-02-25,2.6
D0242,Partner_242,Scooter,Gurgaon,2022-07-19,4.4
D0243,Partner_243,Bicycle,Meerut,2022-11-28,4.1
D0244,Partner_244,Scooter,Mumbai,2023-07-01,3.1
D0245,Partner_245,Scooter,Bangalore,2025-08-08,3.8
D0246,Partner_246,Bicycle,Noida,2022-03-07,2.8
D0247,Partner_247,Bike,Delhi,2024-01-01,4.7
D0248,Partner_248,Bike,Meerut,2023-07-22,3.4
D0249,Partner_249,Scooter,Meerut,2023-10-19,4.1
D0250,Partner_250,Bike,Bangalore,2023-02-08,2.9
D0251,Partner_251,Bike,Gurgaon,2023-09-10,3.0
D0252,Partner_252,Scooter,Delhi,2023-08-19,5.0
D0253,Partner_253,Bicycle,Ghaziabad,2023-10-10,4.4
D0254,Partner_254,Bike,Ghaziabad,2022-05-26,4.9
D0255,Partner_255,Scooter,Chennai,2024-01-31,3.2
D0256,Partner_256,Bicycle,Noida,2025-11-26,2.9
D0257,Partner_257,Bike,Pune,2022-05-05,3.8
D0258,Partner_258,Bicycle,Bangalore,2025-09-17,3.7
D0259,Partner_259,Scooter,Gurgaon,2023-04-25,2.9
D0260,Partner_260,Bicycle,Delhi,2024-09-28,4.3
D0261,Partner_261,Bicycle,Gurgaon,2023-12-13,3.4
D0262,Partner_262,Scooter,Pune,2023-12-16,3.0
D0263,Partner_263,Bike,Ghaziabad,2025-11-22,3.3
D0264,Partner_264,Bike,Gurgaon,2024-03-25,3.9
D0265,Partner_265,Bicycle,Ghaziabad,2024-11-19,4.3
D0266,Partner_266,Bicycle,Ghaziabad,2022-02-25,3.7
D0267,Partner_267,Bicycle,Noida,2022-05-12,3.8
D0268,Partner_268,Bicycle,Ghaziabad,2022-08-19,2.8
D0269,Partner_269,Bike,Hyderabad,2023-01-30,4.8
D0270,Partner_270,Scooter,Ghaziabad,2025-03-21,4.8
D0271,Partner_271,Scooter,Delhi,2024-09-08,4.2
D0272,Partner_272,Scooter,Delhi,2024-08-20,2.5
D0273,Partner_273,Bicycle,Delhi,2024-07-21,3.8
D0274,Partner_274,Bicycle,Meerut,2025-11-10,4.1
D0275,Partner_275,Scooter,Bangalore,2024-06-26,5.0
D0276,Partner_276,Bike,Bangalore,2023-06-17,5.0
D0277,Partner_277,Scooter,Bangalore,2024-08-22,4.6
D0278,Partner_278,Bike,Hyderabad,2023-03-24,2.7
D0279,Partner_279,Bicycle,Delhi,2022-05-06,4.9
D0280,Partner_280,Scooter,Chennai,2023-07-09,4.0
D0281,Partner_281,Scooter,Bangalore,2023-11-25,4.5
D0282,Partner_282,Bicycle,Pune,2023-05-04,3.5
D0283,Partner_283,Bike,Pune,2023-09-04,3.3
D0284,Partner_284,Scooter,Gurgaon,2024-06-09,3.7
D0285,Partner_285,Scooter,Meerut,2023-03-22,2.9
D0286,Partner_286,Bike,Chennai,2025-10-04,3.4
D0287,Partner_287,Scooter,Ghaziabad,2023-05-23,4.6
D0288,Partner_288,Scooter,Delhi,2023-04-02,2.6
D0289,Partner_289,Bicycle,Hyderabad,2024-09-12,2.9
D0290,Partner_290,Bike,Meerut,2023-01-20,2.8
D0291,Partner_291,Scooter,Noida,2023-12-13,3.5
D0292,Partner_292,Scooter,Noida,2024-07-17,5.0
D0293,Partner_293,Bicycle,Mumbai,2025-02-12,2.9
D0294,Partner_294,Scooter,Ghaziabad,2023-03-28,2.9
D0295,Partner_295,Bicycle,Delhi,2023-10-16,4.8
D0296,Partner_296,Scooter,Meerut,2025-02-16,4.7
D0297,Partner_297,Bicycle,Noida,2025-01-21,2.6
D0298,Partner_298,Bike,Mumbai,2023-06-05,4.4
D0299,Partner_299,Bike,Hyderabad,2023-06-22,4.1
D0300,Partner_300,Scooter,Delhi,2025-12-27,4.4
D0301,Partner_301,Scooter,Noida,2022-05-25,3.7
D0302,Partner_302,Bicycle,Bangalore,2024-12-27,5.0
D0303,Partner_303,Bicycle,Pune,2023-12-01,2.6
D0304,Partner_304,Bike,Mumbai,2022-05-11,3.1
D0305,Partner_305,Scooter,Hyderabad,2024-01-03,3.5
D0306,Partner_306,Bicycle,Noida,2025-07-28,3.6
D0307,Partner_307,Bike,Hyderabad,2023-05-28,4.8
D0308,Partner_308,Bike,Ghaziabad,2023-10-02,3.9
D0309,Partner_309,Bicycle,Gurgaon,2022-01-01,2.6
D0310,Partner_310,Scooter,Mumbai,2023-03-08,3.5
D0311,Partner_311,Bike,Meerut,2023-01-26,3.5
D0312,Partner_312,Bicycle,Meerut,2025-07-13,4.9
D0313,Partner_313,Bike,Noida,2023-02-03,4.0
D0314,Partner_314,Scooter,Bangalore,2024-03-18,4.1
D0315,Partner_315,Bicycle,Bangalore,2025-07-03,4.3
D0316,Partner_316,Scooter,Ghaziabad,2023-01-30,4.4
D0317,Partner_317,Scooter,Meerut,2024-08-09,4.1
D0318,Partner_318,Bike,Mumbai,2022-06-23,3.1
D0319,Partner_319,Scooter,Pune,2024-12-04,4.7
D0320,Partner_320,Bike,Bangalore,2024-05-04,4.3
D0321,Partner_321,Bicycle,Meerut,2025-03-10,4.4
D0322,Partner_322,Bicycle,Gurgaon,2023-06-23,5.0
D0323,Partner_323,Bike,Mumbai,2024-01-15,4.5
D0324,Partner_324,Bike,Pune,2023-12-22,4.6
D0325,Partner_325,Bike,Gurgaon,2022-02-19,4.9
D0326,Partner_326,Scooter,Meerut,2024-12-20,2.9
D0327,Partner_327,Bicycle,Noida,2022-08-31,3.7
D0328,Partner_328,Bicycle,Chennai,2025-07-16,4.0
D0329,Partner_329,Scooter,Chennai,2025-03-09,3.3
D0330,Partner_330,Bike,Ghaziabad,2025-03-26,4.6
D0331,Partner_331,Bicycle,Ghaziabad,2023-08-20,4.4
D0332,Partner_332,Scooter,Pune,2022-10-03,4.3
D0333,Partner_333,Bike,Gurgaon,2024-11-20,5.0
D0334,Partner_334,Bicycle,Meerut,2022-01-08,3.1
D0335,Partner_335,Bike,Meerut,2023-12-16,4.3
D0336,Partner_336,Scooter,Noida,2022-02-02,3.9
D0337,Partner_337,Bicycle,Hyderabad,2024-03-20,3.3
D0338,Partner_338,Bike,Ghaziabad,2024-07-16,2.9
D0339,Partner_339,Bike,Hyderabad,2024-05-11,4.7
D0340,Partner_340,Bike,Hyderabad,2022-02-06,4.0
D0341,Partner_341,Scooter,Noida,2022-02-03,4.6
D0342,Partner_342,Bike,Hyderabad,2023-03-31,3.9
D0343,Partner_343,Bicycle,Hyderabad,2023-03-20,3.0
D0344,Partner_344,Bicycle,Noida,2025-06-14,3.3
D0345,Partner_345,Bike,Bangalore,2022-07-31,3.5
D0346,Partner_346,Scooter,Hyderabad,2025-03-09,4.9
D0347,Partner_347,Bicycle,Ghaziabad,2023-12-03,2.5
D0348,Partner_348,Bicycle,Noida,2023-08-31,5.0
D0349,Partner_349,Bicycle,Mumbai,2024-09-08,5.0
D0350,Partner_350,Bike,Hyderabad,2022-12-27,5.0
D0351,Partner_351,Bicycle,Bangalore,2022-10-31,3.7
D0352,Partner_352,Bike,Ghaziabad,2022-10-23,4.9
D0353,Partner_353,Bike,Delhi,2022-06-01,3.5
D0354,Partner_354,Bike,Ghaziabad,2025-05-31,2.6
D0355,Partner_355,Bike,Gurgaon,2025-05-04,3.1
D0356,Partner_356,Bike,Mumbai,2023-08-23,4.9
D0357,Partner_357,Bicycle,Chennai,2025-08-15,2.5
D0358,Partner_358,Bike,Meerut,2022-07-30,3.9
D0359,Partner_359,Bike,Gurgaon,2022-08-20,2.7
D0360,Partner_360,Bike,Noida,2024-05-19,3.2
D0361,Partner_361,Bike,Noida,2023-11-26,2.7
D0362,Partner_362,Bike,Meerut,2023-01-02,4.6
D0363,Partner_363,Bike,Pune,2023-04-26,4.0
D0364,Partner_364,Bicycle,Pune,2023-07-26,4.8
D0365,Partner_365,Bike,Meerut,2025-04-17,4.2
D0366,Partner_366,Bike,Noida,2024-07-18,4.9
D0367,Partner_367,Bicycle,Ghaziabad,2024-11-05,3.8
D0368,Partner_368,Bicycle,Mumbai,2023-04-11,4.1
D0369,Partner_369,Scooter,Bangalore,2025-11-26,3.9
D0370,Partner_370,Bicycle,Chennai,2022-10-21,3.7
D0371,Partner_371,Bicycle,Mumbai,2022-06-20,4.6
D0372,Partner_372,Bike,Meerut,2024-11-21,4.1
D0373,Partner_373,Scooter,Noida,2022-09-20,4.5
D0374,Partner_374,Bike,Pune,2025-05-23,4.5
D0375,Partner_375,Scooter,Noida,2023-07-12,3.0
D0376,Partner_376,Bike,Pune,2022-07-08,4.1
D0377,Partner_377,Bicycle,Mumbai,2024-02-25,3.0
D0378,Partner_378,Bicycle,Gurgaon,2023-08-06,4.0
D0379,Partner_379,Scooter,Ghaziabad,2024-09-28,4.2
D0380,Partner_380,Bike,Mumbai,2023-08-23,5.0
D0381,Partner_381,Bike,Ghaziabad,2024-04-25,2.6
D0382,Partner_382,Bicycle,Hyderabad,2025-07-08,2.7
D0383,Partner_383,Bicycle,Mumbai,2025-04-20,2.7
D0384,Partner_384,Scooter,Delhi,2022-12-08,3.5
D0385,Partner_385,Bicycle,Delhi,2024-08-11,4.6
D0386,Partner_386,Scooter,Ghaziabad,2022-01-22,4.6
D0387,Partner_387,Scooter,Hyderabad,2025-01-02,4.3
D0388,Partner_388,Scooter,Ghaziabad,2022-06-15,4.7
D0389,Partner_389,Scooter,Meerut,2022-08-22,3.3
D0390,Partner_390,Bicycle,Delhi,2025-10-30,2.7
D0391,Partner_391,Scooter,Noida,2025-12-27,2.6
D0392,Partner_392,Bicycle,Ghaziabad,2023-10-03,4.6
D0393,Partner_393,Scooter,Ghaziabad,2025-09-19,4.3
D0394,Partner_394,Bicycle,Chennai,2023-08-30,4.2
D0395,Partner_395,Scooter,Bangalore,2023-06-24,3.3
D0396,Partner_396,Bicycle,Bangalore,2024-11-24,3.4
D0397,Partner_397,Bike,Pune,2025-06-08,4.9
D0398,Partner_398,Scooter,Hyderabad,2022-11-14,2.7
D0399,Partner_399,Scooter,Delhi,2022-12-09,4.4
D0400,Partner_400,Bike,Delhi,2025-12-24,3.3
D0401,Partner_401,Bike,Bangalore,2024-09-05,2.6
D0402,Partner_402,Scooter,Ghaziabad,2023-09-29,4.4
D0403,Partner_403,Bicycle,Ghaziabad,2022-03-20,3.3
D0404,Partner_404,Scooter,Delhi,2024-06-11,4.3
D0405,Partner_405,Bicycle,Hyderabad,2023-07-27,4.3
D0406,Partner_406,Bike,Gurgaon,2023-03-25,3.8
D0407,Partner_407,Bicycle,Meerut,2022-10-09,4.4
D0408,Partner_408,Scooter,Chennai,2023-11-06,4.0
D0409,Partner_409,Bike,Delhi,2022-02-26,3.2
D0410,Partner_410,Bike,Pune,2022-07-10,4.3
D0411,Partner_411,Scooter,Gurgaon,2023-10-06,4.0
D0412,Partner_412,Scooter,Delhi,2022-02-11,2.5
D0413,Partner_413,Bike,Chennai,2025-04-11,4.8
D0414,Partner_414,Bicycle,Bangalore,2023-11-10,3.9
D0415,Partner_415,Bicycle,Delhi,2025-06-27,4.7
D0416,Partner_416,Bicycle,Gurgaon,2023-05-17,4.7
D0417,Partner_417,Scooter,Meerut,2025-05-01,3.6
D0418,Partner_418,Bike,Ghaziabad,2024-02-29,3.8
D0419,Partner_419,Bicycle,Mumbai,2024-01-20,3.5
D0420,Partner_420,Bike,Bangalore,2024-01-12,3.6
D0421,Partner_421,Bicycle,Gurgaon,2022-06-14,4.7
D0422,Partner_422,Bike,Pune,2024-01-25,4.5
D0423,Partner_423,Scooter,Pune,2022-03-31,2.8
D0424,Partner_424,Scooter,Noida,2024-09-13,4.0
D0425,Partner_425,Scooter,Mumbai,2024-12-17,5.0
D0426,Partner_426,Bicycle,Delhi,2025-07-10,4.0
D0427,Partner_427,Scooter,Noida,2023-10-10,4.5
D0428,Partner_428,Scooter,Pune,2024-01-20,4.4
D0429,Partner_429,Scooter,Delhi,2024-03-29,3.4
D0430,Partner_430,Bike,Noida,2022-08-31,3.4
D0431,Partner_431,Bike,Delhi,2023-10-25,4.3
D0432,Partner_432,Bike,Meerut,2024-05-07,3.7
D0433,Partner_433,Bike,Mumbai,2022-08-07,3.9
D0434,Partner_434,Bike,Bangalore,2022-01-09,4.3
D0435,Partner_435,Bike,Bangalore,2023-03-06,4.4
D0436,Partner_436,Bike,Bangalore,2022-01-13,3.2
D0437,Partner_437,Scooter,Pune,2024-06-25,2.9
D0438,Partner_438,Scooter,Meerut,2024-08-27,3.2
D0439,Partner_439,Bicycle,Chennai,2025-06-02,3.8
