order_id,customer_id,restaurant_id,delivery_partner_id,order_date,order_time,order_amount,discount,delivery_fee,status,estimated_delivery_time,actual_delivery_time
O000092,C02199,R0163,D0289,2025-05-08,23:52:00,1580.52,203.22,32.8,Delivered,33,64
O000093,C03841,R0085,D0453,2025-01-16,10:48:00,1385.14,15.73,36.25,Delivered,23,32
O000094,C02369,R0195,D0015,2025-06-12,12:08:00,320.5,33.06,82.64,Delivered,38,59
O000095,C02883,R0020,D0291,2025-09-08,23:35:00,1639.72,159.47,55.29,Cancelled,39,65
O000096,C02024,R0118,D0136,2025-05-17,13:16:00,272.16,7.3,54.73,Delivered,26,27
O000097,C04764,R0174,D0500,2025-11-14,21:13:00,1503.96,137.27,61.99,Cancelled,28,53
O000098,C04321,R0055,D0494,2025-10-22,14:45:00,1459.99,432.46,27.13,Delivered,58,76
O000099,C03607,R0063,D0052,2025-06-28,17:25:00,1409.86,347.35,98.97,Cancelled,53,49
O000100,C01199,R0126,D0342,2025-08-17,19:28:00,625.72,150.48,87.77,Delivered,32,34
O000101,C02735,R0146,D0305,2025-06-29,22:07:00,1189.4,300.91,43.42,Delivered,23,24
O000102,C04349,R0033,D0254,2025-03-13,15:14:00,1547.0,401.47,24.54,Delivered,55,50
O000103,C01653,R0062,D0046,2025-11-14,10:21:00,1311.42,128.0,69.39,Delivered,38,70
O000104,C03745,R0018,D0441,2025-03-24,08:37:00,1628.18,157.41,67.37,Delivered,36,38
O000105,C04983,R0159,D0444,2025-05-16,15:37:00,1406.98,142.01,44.8,Cancelled,44,42
O000106,C03323,R0028,D0383,2025-08-06,15:00:00,621.45,152.61,47.25,Delivered,33,57
O000107,C03962,R0135,D0104,2025-04-19,10:45:00,390.81,93.48,62.06,Delivered,24,37
O000108,C04607,R0100,D0280,2025-04-29,09:14:00,1300.76,6.6,90.33,Delivered,26,57
O000109,C00737,R0171,D0302,2025-01-18,10:57:00,1543.54,439.53,28.74,Delivered,33,47
O000110,C03878,R0164,D0305,2025-11-28,09:55:00,370.41,31.73,60.79,Delivered,52,59
O000111,C03011,R0052,D0141,2025-06-03,18:04:00,432.16,81.18,54.96,Cancelled,31,57
O000112,C04258,R0164,D0064,2025-01-11,15:17:00,122.93,23.6,57.31,Delivered,23,19
O000113,C03249,R0169,D0205,2025-05-18,23:13:00,1110.32,37.77,92.78,Pending,25,32
O000114,C01416,R0106,D0289,2025-03-03,12:46:00,1130.35,235.93,63.55,Delivered,20,22
O000115,C00713,R0149,D0304,2025-03-12,23:15:00,1050.14,168.1,75.59,Pending,39,65
O000116,C04997,R0166,D0341,2025-03-02,23:51:00,700.42,128.37,93.01,Delivered,45,53
O000117,C04661,R0066,D0013,2025-05-12,21:12:00,912.84,122.39,44.19,Delivered,42,57
O000118,C01466,R0041,D0045,2025-03-02,11:06:00,1555.85,375.44,48.7,Delivered,31,58
O000119,C01925,R0053,D0264,2025-12-24,21:22:00,445.41,84.87,38.13,Cancelled,32,62
O000120,C03071,R0034,D0391,2025-09-26,21:26:00,482.94,27.95,72.15,Pending,37,52
O000121,C00619,R0068,D0141,2025-01-12,22:55:00,1367.26,308.75,40.3,Delivered,50,50
O000122,C04632,R0008,D0435,2025-02-04,09:43:00,1747.11,263.41,38.77,Delivered,47,46
O000123,C04599,R0159,D0302,2025-02-20,11:03:00,746.75,8.35,98.94,Delivered,24,48
O000124,C03411,R0082,D0435,2025-02-12,20:46:00,1872.21,221.77,75.79,Delivered,58,80
O000125,C04619,R0187,D0178,2025-08-16,18:51:00,209.58,25.26,85.15,Delivered,39,70
O000126,C02913,R0083,D0129,2025-04-21,11:15:00,325.19,78.19,97.5,Delivered,39,45
O000127,C01310,R0113,D0348,2025-11-18,14:12:00,973.92,68.36,97.68,Delivered,53,58
O000128,C04161,R0085,D0036,2025-01-15,22:08:00,1474.62,200.2,46.65,Delivered,33,33
O000129,C03907,R0090,D0377,2025-06-26,21:11:00,804.59,13.13,61.5,Delivered,34,48
O000130,C01643,R0149,D0233,2025-06-11,16:29:00,1154.02,305.16,93.87,Delivered,55,76
O000131,C00153,R0112,D0302,2025-02-08,15:55:00,154.28,20.54,22.05,Delivered,49,72
O000132,C00246,R0004,D0163,2025-01-26,10:28:00,977.49,251.19,93.29,Delivered,37,40
O000133,C04114,R0009,D0128,2025-04-22,11:03:00,560.89,113.96,88.64,Delivered,53,87
O000134,C02618,R0179,D0213,2025-02-20,08:05:00,1081.1,103.74,57.44,Delivered,45,46
O000135,C03362,R0184,D0126,2025-04-08,15:10:00,1099.08,235.0,61.35,Delivered,55,70
O000136,C00654,R0186,D0322,2025-06-19,21:31:00,1531.0,215.34,23.81,Delivered,38,50
O000137,C02157,R0068,D0473,2025-02-25,23:13:00,1125.7,115.24,64.46,Delivered,23,32
O000138,C00155,R0191,D0383,2025-08-09,20:57:00,1267.11,253.9,29.85,Delivered,46,42
O000139,C04319,R0042,D0215,2025-11-21,09:10:00,1106.33,257.0,41.11,Delivered,22,49
O000140,C04907,R0103,D0213,2025-05-26,20:00:00,1981.72,409.39,84.32,Delivered,31,36
O000141,C02614,R0035,D0401,2025-09-17,20:16:00,1604.08,222.74,60.37,Delivered,55,55
O000142,C00800,R0054,D0088,2025-05-09,22:18:00,1535.73,119.47,80.15,Delivered,58,65
O000143,C03365,R0016,D0225,2025-02-19,21:44:00,1291.79,314.06,94.54,Delivered,21,32
O000144,C04706,R0081,D0208,2025-12-06,23:09:00,1103.9,114.8,33.69,Delivered,53,72
O000145,C00505,R0199,D0017,2025-11-22,14:18:00,755.04,138.84,40.76,Delivered,57,56
O000146,C01658,R0067,D0400,2025-01-20,14:03:00,1589.54,55.01,66.96,Delivered,50,58
O000147,C00478,R0036,D0389,2025-06-23,09:47:00,460.26,102.22,95.97,Delivered,24,47
O000148,C01697,R0036,D0240,2025-10-10,18:03:00,169.44,48.44,82.34,Delivered,39,63
O000149,C02200,R0054,D0355,2025-01-26,09:37:00,1426.53,192.28,71.15,Delivered,57,63
O000150,C02857,R0185,D0265,2025-06-09,23:32:00,375.22,61.73,74.33,Delivered,30,51
O000151,C00356,R0037,D0350,2025-01-10,13:03:00,1817.27,490.38,54.61,Delivered,50,75
O000152,C01849,R0057,D0169,2025-03-23,10:54:00,1564.29,373.22,52.3,Pending,44,67
O000153,C03473,R0079,D0175,2025-09-13,13:04:00,1244.26,359.2,98.95,Cancelled,23,44
O000154,C03600,R0048,D0058,2025-04-15,10:43:00,696.46,55.59,88.51,Delivered,40,39
O000155,C01580,R0038,D0342,2025-05-20,15:25:00,1312.09,185.0,80.87,Delivered,20,23
O000156,C02584,R0081,D0442,2025-07-21,11:56:00,1006.03,137.52,77.58,Delivered,56,76
O000157,C01477,R0182,D0052,2025-12-10,15:37:00,653.18,92.71,65.37,Delivered,47,68
O000158,C04096,R0007,D0438,2025-01-24,09:39:00,1895.65,519.29,46.33,Delivered,20,29
O000159,C01368,R0004,D0486,2025-02-15,10:26:00,407.59,25.13,54.63,Delivered,35,44
O000160,C03220,R0110,D0168,2025-08-05,18:59:00,1531.43,411.14,24.71,Delivered,21,49
O000161,C03938,R0123,D0165,2025-02-24,16:13:00,1620.07,277.58,27.14,Delivered,21,29
O000162,C04403,R0010,D0436,2025-03-19,18:15:00,1908.41,307.35,50.76,Delivered,36,32
O000163,C00218,R0079,D0232,2025-06-08,16:25:00,1143.89,142.93,29.26,Delivered,41,41
O000164,C03840,R0018,D0272,2025-12-10,12:42:00,1116.26,180.71,51.85,Delivered,35,45
O000165,C00672,R0190,D0022,2025-09-29,17:29:00,1848.55,445.48,37.07,Delivered,32,35
O000166,C00149,R0151,D0155,2025-05-28,18:59:00,1622.08,239.53,48.0,Delivered,26,36
O000167,C03794,R0190,D0391,2025-02-07,10:00:00,1550.91,361.06,50.34,Delivered,36,52
O000168,C01228,R0143,D0294,2025-04-21,22:39:00,1599.36,199.91,83.55,Delivered,40,53
O000169,C03862,R0183,D0093,2025-01-15,11:04:00,1037.04,56.9,74.85,Delivered,50,52
O000170,C00274,R0119,D0306,2025-03-19,14:32:00,178.7,22.23,85.19,Delivered,34,49
O000171,C01336,R0156,D0040,2025-03-17,16:08:00,476.7,103.45,49.19,Delivered,42,39
O000172,C04882,R0077,D0233,2025-11-24,19:56:00,1321.68,337.72,86.07,Delivered,45,54
O000173,C00829,R0122,D0430,2025-10-02,10:56:00,852.72,197.39,95.97,Delivered,49,45
O000174,C00689,R0164,D0417,2025-07-16,15:23:00,1252.86,140.74,42.19,Delivered,30,46
O000175,C03024,R0026,D0483,2025-08-07,17:10:00,1148.19,199.49,77.5,Delivered,57,68
O000176,C03194,R0013,D0474,2025-03-04,22:53:00,933.45,100.94,24.61,Delivered,45,55
O000177,C03384,R0134,D0315,2025-12-27,17:39:00,545.98,115.39,61.68,Pending,25,33
O000178,C01619,R0053,D0125,2025-02-01,08:42:00,1466.02,191.95,32.51,Delivered,22,21
O000179,C04596,R0089,D0176,2025-08-21,17:59:00,1827.19,419.25,86.64,Delivered,44,59
O000180,C01417,R0029,D0399,2025-04-20,11:56:00,1562.93,6.0,53.14,Delivered,34,44
O000181,C01976,R0040,D0088,2025-06-14,12:16:00,328.07,33.48,68.34,Delivered,40,65
O000182,C01227,R0109,D0387,2025-07-13,11:56:00,1122.1,295.64,66.57,Delivered,25,51
O000183,C00253,R0148,D0133,2025-01-07,11:47:00,1687.2,163.77,28.34,Delivered,42,52
O000184,C04065,R0060,D0318,2025-05-19,12:17:00,1222.87,144.82,28.01,Delivered,31,34
O000185,C03358,R0101,D0021,2025-12-09,17:38:00,935.18,221.84,65.72,Delivered,46,77
O000186,C01303,R0144,D0177,2025-10-14,14:45:00,640.64,18.18,45.2,Delivered,34,37
O000187,C01624,R0154,D0458,2025-10-28,18:13:00,727.74,68.09,28.91,Cancelled,27,42
O000188,C03680,R0183,D0282,2025-02-25,16:32:00,560.1,130.13,44.8,Delivered,44,46
O000189,C00113,R0135,D0423,2025-06-09,23:16:00,471.88,135.48,35.25,Delivered,38,56
O000190,C04582,R0064,D0061,2025-05-29,09:05:00,1218.84,286.25,23.17,Delivered,54,64
O000191,C04100,R0126,D0132,2025-10-14,21:53:00,1067.83,55.23,50.39,Delivered,40,65
O000192,C00044,R0019,D0163,2025-09-14,16:02:00,1496.18,374.8,74.46,Delivered,37,51
O000193,C00169,R0110,D0403,2025-05-19,08:21:00,685.07,97.78,29.06,Cancelled,48,47
O000194,C01307,R0034,D0197,2025-12-15,12:40:00,975.57,229.16,66.81,Delivered,46,42
O000195,C03467,R0189,D0262,2025-11-20,16:10:00,1392.7,100.0,32.13,Delivered,59,56
O000196,C04693,R0154,D0443,2025-10-19,22:35:00,1930.14,197.53,25.47,Delivered,29,55
O000197,C01019,R0152,D0443,2025-12-01,21:35:00,762.85,206.34,27.38,Pending,24,43
O000198,C00381,R0096,D0113,2025-07-06,08:07:00,666.6,182.14,36.78,Delivered,41,70
O000199,C00088,R0040,D0399,2025-11-19,10:56:00,953.65,81.59,57.25,Delivered,33,57
O000200,C04244,R0171,D0134,2025-07-03,12:34:00,1475.36,36.98,55.56,Cancelled,59,68
O000201,C01129,R0013,D0045,2025-11-03,09:53:00,1926.95,537.05,58.12,Delivered,20,43
O000202,C02079,R0067,D0406,2025-09-19,19:37:00,1119.42,100.88,50.07,Delivered,32,28
O000203,C02932,R0014,D0004,2025-11-06,12:27:00,1643.64,59.23,90.41,Pending,46,46
O000204,C00720,R0007,D0271,2025-12-10,12:02:00,982.36,102.59,90.77,Delivered,36,59
O000205,C04071,R0057,D0479,2025-05-25,17:23:00,175.73,14.87,72.63,Delivered,27,57
O000206,C01811,R0064,D0349,2025-09-18,09:57:00,1799.0,43.48,45.92,Delivered,47,63
O000207,C04240,R0052,D0448,2025-01-02,19:13:00,650.77,192.06,34.8,Delivered,45,45
O000208,C03480,R0054,D0279,2025-11-10,15:42:00,363.46,32.03,75.82,Delivered,39,62
O000209,C04294,R0122,D0118,2025-01-12,11:22:00,1992.71,162.83,99.72,Delivered,38,49
O000210,C04584,R0011,D0386,2025-09-18,21:39:00,760.06,95.75,85.55,Delivered,33,59
O000211,C00848,R0101,D0133,2025-12-28,12:59:00,359.42,44.73,46.22,Delivered,44,56
O000212,C03304,R0101,D0438,2025-06-18,15:55:00,691.93,90.05,35.35,Pending,55,74
O000213,C02820,R0191,D0050,2025-05-28,13:51:00,1076.29,292.74,85.41,Pending,47,59
O000214,C02894,R0122,D0490,2025-07-19,13:56:00,267.12,4.83,52.18,Delivered,27,32
O000215,C02432,R0153,D0324,2025-11-08,21:01:00,769.98,217.51,66.8,Delivered,52,51
O000216,C03650,R0044,D0368,2025-03-11,13:47:00,1370.83,273.86,23.4,Delivered,25,46
O000217,C04628,R0135,D0197,2025-11-08,18:50:00,1840.27,385.08,84.51,Delivered,44,44
O000218,C02052,R0165,D0096,2025-02-23,21:51:00,855.13,40.5,36.18,Delivered,20,25
O000219,C01268,R0041,D0367,2025-09-16,15:17:00,1172.67,,81.08,Delivered,49,83
O000220,C02736,R0099,D0080,2025-12-17,13:50:00,1308.52,20.5,72.82,Delivered,24,47
O000221,C04279,R0168,D0484,2025-01-28,11:24:00,234.43,45.93,53.0,Delivered,28,54
O000222,C02799,R0137,D0324,2025-12-29,09:54:00,750.23,76.49,62.68,Delivered,27,25
O000223,C00566,R0051,D0315,2025-04-30,23:14:00,1400.08,231.54,63.01,Delivered,43,42
O000224,C00400,R0073,D0393,2025-05-13,14:52:00,1497.76,338.22,38.02,Delivered,44,56
O000225,C03137,R0065,D0380,2025-03-31,22:22:00,776.31,128.91,30.34,Delivered,27,29
O000226,C03556,R0064,D0191,2025-01-16,17:52:00,112.8,2.42,84.81,Delivered,57,74
O000227,C04342,R0109,D0157,2025-10-14,15:14:00,113.04,2.09,75.21,Delivered,40,72
O000228,C03835,R0088,D0386,2025-10-11,08:42:00,1122.43,292.0,69.71,Delivered,38,44
O000229,C01058,R0183,D0412,2025-08-18,14:25:00,1147.82,90.27,42.27,Delivered,22,37
O000230,C04380,R0164,D0398,2025-05-17,18:17:00,1155.87,125.6,52.17,Delivered,58,74
O000231,C04809,R0065,D0054,2025-10-22,10:49:00,1471.33,96.4,31.78,Delivered,35,61
O000232,C00991,R0076,D0058,2025-08-15,16:22:00,1850.41,387.96,80.35,Pending,20,42
O000233,C00838,R0038,D0193,2025-01-27,20:43:00,1981.32,229.5,21.2,Delivered,29,41
O000234,C01734,R0142,D0102,2025-11-28,18:01:00,1432.03,196.04,20.23,Delivered,25,22
O000235,C01300,R0102,D0247,2025-04-27,11:56:00,1076.6,217.84,61.68,Delivered,24,48
O000236,C04520,R0099,D0421,2025-03-30,16:11:00,367.89,68.77,47.54,Delivered,36,43
O000237,C02016,R0139,D0169,2025-04-17,16:02:00,829.93,192.8,31.51,Delivered,40,35
O000238,C03695,R0138,D0359,2025-08-09,11:38:00,1187.67,266.81,77.84,Delivered,48,77
O000239,C03185,R0192,D0438,2025-08-11,21:22:00,1999.64,263.89,94.57,Delivered,50,83
O000240,C00736,R0113,D0340,2025-05-02,18:27:00,341.27,19.64,42.45,Delivered,22,42
O000241,C04997,R0073,D0430,2025-12-20,11:24:00,1606.85,107.6,68.21,Delivered,57,68
O000242,C03557,R0137,D0493,2025-02-02,14:16:00,1997.99,423.62,79.59,Cancelled,47,73
O000243,C00522,R0178,D0017,2025-04-01,09:45:00,1630.05,127.77,69.26,Delivered,47,63
O000244,C01730,R0093,D0016,2025-07-03,21:00:00,1557.57,205.81,50.64,Cancelled,20,53
O000245,C03659,R0140,D0446,2025-09-15,14:23:00,591.49,19.15,64.45,Delivered,31,50
O000246,C02241,R0167,D0171,2025-01-13,21:04:00,106.39,3.9,77.97,Cancelled,35,61
O000247,C01230,R0056,D0195,2025-01-24,18:39:00,529.38,39.7,95.46,Delivered,44,62
O000248,C02645,R0139,D0330,2025-11-21,18:42:00,1600.62,40.74,81.79,Delivered,37,39
O000249,C00518,R0107,D0174,2025-02-03,11:46:00,303.83,25.03,45.21,Delivered,27,51
O000250,C03184,R0194,D0069,2025-09-04,17:32:00,662.62,112.95,73.75,Cancelled,25,32
O000251,C03098,R0170,D0116,2025-12-09,17:42:00,1168.76,261.14,93.3,Delivered,28,45
O000252,C01159,R0044,D0273,2025-01-19,21:20:00,1201.64,11.79,61.52,Delivered,37,68
O000253,C01328,R0195,D0009,2025-01-30,20:44:00,1131.68,203.91,27.65,Delivered,49,56
O000254,C03777,R0128,D0170,2025-02-18,17:35:00,1963.68,213.95,71.29,Cancelled,39,63
O000255,C00079,R0111,D0310,2025-06-29,12:12:00,123.34,8.39,68.4,Cancelled,37,37
O000256,C01631,R0096,D0201,2025-08-14,21:42:00,1026.44,9.81,30.75,Delivered,56,80
O000257,C01606,R0058,D0214,2025-03-19,20:43:00,1058.4,103.49,39.17,Delivered,48,76
O000258,C01299,R0040,D0038,2025-07-26,13:39:00,657.31,155.72,73.75,Cancelled,30,41
O000259,C03846,R0032,D0212,2025-02-04,17:25:00,1097.64,174.53,97.89,Cancelled,37,55
O000260,C04894,R0071,D0303,2025-09-07,08:19:00,1379.23,320.94,33.9,Delivered,52,55
O000261,C04798,R0163,D0181,2025-03-12,17:13:00,1378.24,170.5,69.13,Delivered,22,35
O000262,C00010,R0104,D0458,2025-12-30,21:50:00,266.93,67.53,57.91,Delivered,47,72
O000263,C04196,R0129,D0043,2025-11-06,18:29:00,1624.67,73.28,47.17,Delivered,24,43
O000264,C01901,R0166,D0139,2025-10-06,22:28:00,1868.35,459.63,93.14,Delivered,35,62
O000265,C00146,R0105,D0397,2025-06-01,14:32:00,334.86,47.82,94.98,Delivered,23,55
O000266,C04740,R0108,D0412,2025-08-15,23:50:00,891.62,199.55,33.07,Delivered,37,68
O000267,C04348,R0135,D0172,2025-08-31,13:42:00,1072.33,77.34,76.51,Cancelled,46,75
O000268,C03528,R0098,D0390,2025-01-10,10:18:00,356.16,51.94,81.92,Delivered,37,63
O000269,C04376,R0129,D0273,2025-11-13,18:05:00,1056.43,232.24,93.86,Delivered,21,37
O000270,C04928,R0078,D0008,2025-02-17,15:43:00,493.03,71.55,25.85,Delivered,25,22
O000271,C00344,R0092,D0155,2025-04-22,17:14:00,1877.19,257.98,94.55,Delivered,54,59
O000272,C01004,R0149,D0207,2025-07-23,14:09:00,952.09,231.55,39.71,Delivered,38,56
O000273,C00667,R0117,D0210,2025-06-06,08:02:00,1990.31,96.94,88.66,Delivered,48,76
O000274,C01076,R0057,D0210,2025-12-09,15:30:00,188.37,26.85,86.26,Delivered,30,54
