restaurant_id,restaurant_name,city,cuisine,rating,avg_preparation_time
R0093,Restaurant_93,Noida,Biryani,4.4,14
R0094,Restaurant_94,Pune,Cafe,2.6,23
R0095,Restaurant_95,Meerut,Healthy,4.6,15
R0096,Restaurant_96,Gurgaon,South Indian,3.9,16
R0097,Restaurant_97,Chennai,Mughlai,3.8,26
R0098,Restaurant_98,Mumbai,Fast Food,4.3,18
R0099,Restaurant_99,Noida,North Indian,4.6,40
R0100,Restaurant_100,Meerut,Chinese,4.9,31
R0101,Restaurant_101,Pune,Italian,3.9,18
R0102,Restaurant_102,Delhi,South Indian,2.9,25
R0103,Restaurant_103,Delhi,Mughlai,4.7,43
R0104,Restaurant_104,Gurgaon,North Indian,2.6,22
R0105,Restaurant_105,Gurgaon,Chinese,4.5,28
R0106,Restaurant_106,Mumbai,Cafe,4.2,21
R0107,Restaurant_107,Bangalore,South Indian,4.8,19
R0108,Restaurant_108,Mumbai,Fast Food,4.7,25
R0109,Restaurant_109,Ghaziabad,Italian,2.6,37
R0110,Restaurant_110,Noida,Chinese,4.0,28
R0111,Restaurant_111,Noida,Fast Food,2.8,15
R0112,Restaurant_112,Chennai,Biryani,2.7,13
R0113,Restaurant_113,Delhi,North Indian,3.6,39
R0114,Restaurant_114,Hyderabad,South Indian,2.7,40
R0115,Restaurant_115,Mumbai,North Indian,4.3,36
R0116,Restaurant_116,Chennai,Chinese,4.9,30
R0117,Restaurant_117,Gurgaon,Desserts,3.9,18
R0118,Restaurant_118,Noida,Desserts,3.1,44
R0119,Restaurant_119,Gurgaon,Italian,4.6,30
R0120,Restaurant_120,Mumbai,Biryani,4.6,26
R0121,Restaurant_121,Meerut,Cafe,4.3,33
R0122,Restaurant_122,Gurgaon,Mughlai,4.0,40
R0123,Restaurant_123,Hyderabad,South Indian,4.7,15
R0124,Restaurant_124,Noida,South Indian,2.9,44
R0125,Restaurant_125,Mumbai,Chinese,4.8,22
R0126,Restaurant_126,Chennai,Desserts,4.9,34
R0127,Restaurant_127,Bangalore,Healthy,4.7,41
R0128,Restaurant_128,Bangalore,Cafe,3.1,10
R0129,Restaurant_129,Mumbai,Chinese,4.6,44
R0130,Restaurant_130,Bangalore,Cafe,3.7,28
R0131,Restaurant_131,Noida,Healthy,4.0,21
R0132,Restaurant_132,Meerut,Desserts,4.6,29
R0133,Restaurant_133,Gurgaon,Fast Food,2.6,42
R0134,Restaurant_134,Hyderabad,Healthy,3.4,38
R0135,Restaurant_135,Pune,Chinese,4.5,25
R0136,Restaurant_136,Chennai,Mughlai,4.5,23
R0137,Restaurant_137,Noida,Cafe,4.6,16
R0138,Restaurant_138,Delhi,Biryani,2.9,15
R0139,Restaurant_139,Ghaziabad,Chinese,4.3,30
R0140,Restaurant_140,Ghaziabad,Fast Food,2.9,31
R0141,Restaurant_141,Chennai,Mughlai,4.5,28
R0142,Restaurant_142,Noida,Desserts,3.1,34
R0143,Restaurant_143,Mumbai,Italian,4.3,12
R0144,Restaurant_144,Gurgaon,South Indian,3.6,43
R0145,Restaurant_145,Mumbai,Healthy,5.0,20
R0146,Restaurant_146,Mumbai,South Indian,3.9,36
R0147,Restaurant_147,Delhi,Chinese,4.1,11
R0148,Restaurant_148,Bangalore,Desserts,3.4,15
R0149,Restaurant_149,Ghaziabad,North Indian,4.3,11
R0150,Restaurant_150,Pune,Mughlai,3.7,26
R0151,Restaurant_151,Pune,Biryani,2.5,23
R0152,Restaurant_152,Gurgaon,South Indian,4.0,19
R0153,Restaurant_153,Ghaziabad,Cafe,4.6,42
R0154,Restaurant_154,Delhi,Fast Food,3.1,21
R0155,Restaurant_155,Chennai,South Indian,3.1,41
R0156,Restaurant_156,Noida,Chinese,4.0,33
R0157,Restaurant_157,Mumbai,Mughlai,4.5,23
R0158,Restaurant_158,Mumbai,Mughlai,3.1,14
R0159,Restaurant_159,Hyderabad,Healthy,4.8,14
R0160,Restaurant_160,Chennai,North Indian,4.8,41
R0161,Restaurant_161,Hyderabad,Healthy,3.0,42
R0162,Restaurant_162,Hyderabad,Italian,3.2,13
R0163,Restaurant_163,Bangalore,Biryani,4.3,39
R0164,Restaurant_164,Pune,Desserts,4.9,26
R0165,Restaurant_165,Hyderabad,Chinese,4.3,12
R0166,Restaurant_166,Mumbai,Chinese,3.6,22
R0167,Restaurant_167,Ghaziabad,Desserts,2.9,27
R0168,Restaurant_168,Ghaziabad,Desserts,3.7,32
R0169,Restaurant_169,Bangalore,Desserts,4.0,44
R0170,Restaurant_170,Ghaziabad,North Indian,3.3,42
R0171,Restaurant_171,Mumbai,Desserts,3.8,26
R0172,Restaurant_172,Pune,Desserts,2.8,43
R0173,Restaurant_173,Pune,South Indian,3.6,21
R0174,Restaurant_174,Pune,Cafe,2.7,14
R0175,Restaurant_175,Noida,Mughlai,2.6,36
R0176,Restaurant_176,Chennai,Desserts,4.6,22
R0177,Restaurant_177,Noida,South Indian,3.0,35
R0178,Restaurant_178,Noida,Italian,3.9,23
R0179,Restaurant_179,Noida,Mughlai,2.9,41
R0180,Restaurant_180,Ghaziabad,Biryani,3.2,20
R0181,Restaurant_181,Meerut,Mughlai,3.4,25
R0182,Restaurant_182,Ghaziabad,North Indian,2.9,31
R0183,Restaurant_183,Meerut,Desserts,2.6,25
R0184,Restaurant_184,Ghaziabad,Mughlai,4.7,22
R0185,Restaurant_185,Mumbai,Italian,2.5,21
R0186,Restaurant_186,Chennai,North Indian,2.7,27
R0187,Restaurant_187,Delhi,Desserts,4.5,38
R0188,Restaurant_188,Delhi,Healthy,3.2,27
R0189,Restaurant_189,Noida,Mughlai,4.3,11
R0190,Restaurant_190,Delhi,Desserts,2.9,11
R0191,Restaurant_191,Chennai,Healthy,3.1,12
R0192,Restaurant_192,Chennai,North Indian,3.9,38
R0193,Restaurant_193,Gurgaon,Fast Food,5.0,17
R0194,Restaurant_194,Bangalore,Cafe,2.7,20
R0195,Restaurant_195,Chennai,Fast Food,3.5,21
R0196,Restaurant_196,Bangalore,Healthy,2.6,41
R0197,Restaurant_197,Delhi,Chinese,3.0,13
R0198,Restaurant_198,Bangalore,Cafe,4.8,18
R0199,Restaurant_199,Meerut,Cafe,2.7,33
R0200,Restaurant_200,Mumbai,Italian,4.6,25
